,"Ward","Pincode","Address","Unnamed: 0"," Area","State","Number","Region","Area_Tag","Latitude","Longitude","BMC_Ward"
39,"C ",400003,"HotelDelight,IRRoad,BhendiBazar,MarineLines",3,"Mandvi (Mumbai)","Maharashtra",16,"Mumbai",,18.95,72.8333,
40,"C ",400003,"IslampuraMasjid,IslampuraStreet,IslampuraMasjid,CharniRoadEast",3,"Mandvi (Mumbai)","Maharashtra",16,"Mumbai",,18.95,72.8333,
41,"C ",400003,"KeshavNursingBuilding,MahadevShankarSethLane,ChiraBazar",3,"Mandvi (Mumbai)","Maharashtra",16,"Mumbai",,18.95,72.8333,
42,"C ",400003,"LDMansion,JssRd,DhobiTalao",3,"Mandvi (Mumbai)","Maharashtra",16,"Mumbai",,18.95,72.8333,
43,"C ",400003,"VivekBuilding,KalbadeviRoad,Badamwadi",3,"Mandvi (Mumbai)","Maharashtra",16,"Mumbai",,18.95,72.8333,
44,"C ",400004,"NalawalaBuilding,BhaiJivanjiLane,NearSKPatilGarden,Mumbai",4,"Madhavbaug","Maharashtra",16,"Mumbai","Mumbai",18.95,72.8167,
45,"C ",400004,"PhadkeBuilding,GangaramKhatriwadiThakurdwar,Thakurdwar",4,"Madhavbaug","Maharashtra",16,"Mumbai","Mumbai",18.95,72.8167,
46,"D ",400004,"GulshanTalkiesBuilding,PBMarg,ChorBazar,GrantRoad",4,"Madhavbaug","Maharashtra",16,"Mumbai","Mumbai",18.95,72.8167,
47,"D ",400004,"KhemrajBhavanBuilding,KhetwadiBackRoad,KhambataLane,Khetwadi",4,"Madhavbaug","Maharashtra",16,"Mumbai","Mumbai",18.95,72.8167,
48,"D ",400004,"KhotachiWadi,JssRoad,DhobiGhat,Girgaon",4,"Madhavbaug","Maharashtra",16,"Mumbai","Mumbai",18.95,72.8167,
49,"D ",400004,"MaliBhavan,Girgaon,8ThKhetwadi,Girgaon",4,"Madhavbaug","Maharashtra",16,"Mumbai","Mumbai",18.95,72.8167,
50,"D ",400004,"RainbowHeights,Khotachiwadi,VPRoad,GrantRoad(W),Girgaon",4,"Madhavbaug","Maharashtra",16,"Mumbai","Mumbai",18.95,72.8167,
51,"D ",400006,"DoshiPalace,WalkeshwarRd,MalabarHill,Walkeshwar",6,"Malabar Hill","Maharashtra",16,"Mumbai","Mumbai",18.95,72.7833,
52,"D ",400006,"JaslokHospital,PeddarRoad,CumbalaHill,GrantRd",6,"Malabar Hill","Maharashtra",16,"Mumbai","Mumbai",18.95,72.7833,
53,"D ",400007,"12ThLaneKhetwadi,MithaiwalaMansion,GrantRoad,NearBalwasHotel,Khetwadi",7,"Tardeo","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8167,
54,"D ",400007,"AmorinaHeigtsCHS,GrantRoad,BhajiGalli,GrantRoad(W)",7,"Tardeo","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8167,
55,"D ",400007,"AuburnHouseBuilding,ForjettStreet,GrantRd",7,"Tardeo","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8167,
56,"D ",400007,"AvishkarBuilding,GrantRoad,GrantRd",7,"Tardeo","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8167,
57,"D ",400007,"BWing,JaiHariBuilding,JaiHariBuilding,VNMarg,GawaliaTank,GrantRd",7,"Tardeo","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8167,
58,"D ",400007,"BhatiaHospital,TardeoRoad,OldChikalwadi,GrantRoad",7,"Tardeo","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8167,
59,"D ",400007,"CWing,NavyugMansion,NavyugMansion,FrereBridge,Nanachowk,GrantRoad",7,"Tardeo","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8167,
60,"D ",400007,"FirozaMansion,LamingtonRoad,ShapurBaug,GrantRoad",7,"Tardeo","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8167,
61,"D ",400007,"KalyanBuilding,SadashivCrossLane,Kandawadi,GrantRd",7,"Tardeo","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8167,
62,"D ",400007,"KaraiEstate,KNRoad,Gaodevi,GrantRoad",7,"Tardeo","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8167,
63,"D ",400007,"NemaniBuilding,NSPatkarMarg,GirgaonChowpatty",7,"Tardeo","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8167,
64,"D ",400007,"SpentaTower,ForjettStreet,GowaliaTank,GrantRoad",7,"Tardeo","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8167,
65,"D ",400007,"TardeoCourtBuilding,JDMarg,BhatiaHospital,Tardeo",7,"Tardeo","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8167,
66,"D ",400008,"BatataChawl,PBMarg,GrantRoad,GrantRd",8,"Kamathipura","Maharashtra",16,"Mumbai","Mumbai",18.6291,72.8919,
67,"D ",400008,"BismillahBuilding,OmkarNivas,PBMarg,GrantRoad",8,"Kamathipura","Maharashtra",16,"Mumbai","Mumbai",18.6291,72.8919,
68,"D ",400008,"Building318,LokhandwalaChawl,BaptyRoad,ArabGalli,GrantRoad",8,"Kamathipura","Maharashtra",16,"Mumbai","Mumbai",18.6291,72.8919,
69,"D ",400008,"CWing,AmatullahBuilding,AmatullahBuilding,PbMarg,ArabLane,GrantRoad",8,"Kamathipura","Maharashtra",16,"Mumbai","Mumbai",18.6291,72.8919,
