,"Pincode"," Area","State","Number","Region","Area_Tag","Latitude","Longitude","BMC_Ward"
204,400083,"Kannamwar Nagar","Maharashtra",16,"Mumbai",,19.1247,72.9488,
206,400084,"Barve Nagar","Maharashtra",16,"Mumbai",,19.1247,72.9488,
207,400085,"BARC","Maharashtra",16,"Mumbai",,19.1247,72.9488,
208,400086,"Ghatkopar W","Maharashtra",16,"Mumbai",,19.1247,72.9488,
211,400087,"Sandeepany Sadhanalya","Maharashtra",16,"Mumbai","Mumbai",19.1247,72.9488,
213,400088,"Trombay","Maharashtra",16,"Mumbai",,19.0333,72.9333,
216,400089,"Tilak Nagar (Mumbai)","Maharashtra",16,"Mumbai",,19.1247,72.9488,
218,400091,"Borivali","Maharashtra",16,"Mumbai","Borivali W",19.235,72.8598,
219,400092,"Borivali W","Maharashtra",16,"Mumbai","Borivali W",19.2361,72.8338,
220,400093,"Chakala Midc","Maharashtra",16,"Mumbai","Mumbai",19.2355,72.8468,
221,400094,"Anushakti Nagar","Maharashtra",16,"Mumbai",,19.2355,72.8468,
222,400095,"Kharodi","Maharashtra",16,"Mumbai","Malad W",19.2355,72.8468,
224,400096,"Seepz","Maharashtra",16,"Mumbai","Mumbai",19.2355,72.8468,
225,400097,"Malad E","Maharashtra",16,"Mumbai","Malad E",19.2355,72.8468,
227,400098,"Vidyanagari","Maharashtra",16,"Mumbai","Mumbai",19.2355,72.8468,
228,400099,"Sahar P & T Colony","Maharashtra",16,"Mumbai","Mumbai",19.2355,72.8468,
232,400101,"Kandivali E","Maharashtra",16,"Mumbai","Kandivali E",19.0499,73.259,
233,400102,"Jogeshwari W","Maharashtra",16,"Mumbai","JogeshwariW",19.0499,73.259,
235,400103,"Mandapeshwar","Maharashtra",16,"Mumbai","Borivali W",19.0499,73.259,
239,400104,"Bangur Nagar","Maharashtra",16,"Mumbai","Goregaon W",19.0499,73.259,
240,400601,"Kasarvadavali","Maharashtra",16,"Thane","Thane",19.197,72.9636,
246,400602,"Naupada (Thane)","Maharashtra",16,"Thane","Thane",19.202,72.9725,
248,400603,"Thane E","Maharashtra",16,"Thane","Thane",19.202,72.9725,
250,400604,"Wagle I.E.","Maharashtra",16,"Thane","Thane",19.202,72.9725,
251,400605,"Kalwa","Maharashtra",16,"Thane","Thane",19.2069,72.9814,
252,400606,"Jekegram","Maharashtra",16,"Thane","Thane",19.202,72.9725,
254,400607,"Sandozbaugh","Maharashtra",16,"Thane","Thane",19.202,72.9725,
255,400608,"Balkum","Maharashtra",16,"Thane",,19.202,72.9725,
256,400610,"Apna Bazar","Maharashtra",16,"Thane",,19.202,72.9725,
257,400612,"Kausa","Maharashtra",16,"Thane","Thane",19.202,72.9725,
263,400614,"Konkan Bhavan","Maharashtra",16,"Thane",,19.202,72.9725,
266,400615,"Kasarvadavali","Maharashtra",16,"Thane","Thane",19.202,72.9725,
267,400701,"Ghansoli","Maharashtra",16,"Thane","Rabale",19.1167,72.9833,
273,400702,"Chanje","Maharashtra",16,"Raigarh(MH)","Uran",19.4585,75.8512,
275,400703,"Turbhe Market","Maharashtra",16,"Thane",,19.2911,74.5735,
282,400704,"Mora","Maharashtra",16,"Raigarh(MH)","Uran",18.9086,72.9299,
283,400705,"Sanpada","Maharashtra",16,"Thane",,19.2911,74.5735,
284,400706,"Nerul Sec-48","Maharashtra",16,"Thane",,19.2911,74.5735,
288,400707,"Jaskhar","Maharashtra",16,"Raigarh(MH)","Uran",19.2911,74.5735,
291,400708,"Airoli","Maharashtra",16,"Thane","Thane",19.151,72.9962,
293,400709,"Kopar Khairne","Maharashtra",16,"Thane",,19.2911,74.5735,
294,400710,"Millenium Business ","Maharashtra",16,"Thane",,19.2911,74.5735,
